tweet  ;etiket;
korona bitsin öyle gelin ;nt;
korona geldi ;nt;
kalitesiz kömür kullanıyorlar ;n;
korona oldum diye üzüldüm ;n;
daha bulaşıcı korona virüs tespit edildi ;n;
korona mutasyon sayesinde daha bulaşıcı ve gençleri etkiliyor ;n;
korona böldün bizi  ;n;
okulların tatil olması kadar güzel bir şey yok ;p;
korona yüzünden buluşamıyoruz  ;n;
çok güzel insandı ;p;
korona virüs yüzünden hayatını kaybetmesine çok üzüldüm ;n;
ölmeden önce video çekmiş ;nt;
korona değildir umarım dua ediniz ;n;
virüslü hayatla yaşamımıza devam edeceğiz  ;nt;
hayatımın en güzel dönemlerini evde oturarak geçiriyorum ;nt;
sınavdan sonra korona olursak bunun hesabını kim verecek ;n;
sınava gelmiyorum ;n;
sınavlar i̇ptal edilsin ;n;
duy sesimizi artık ;nt;
üçüncü kez karantinaya giriyor ;n;
kötü şey olsa şuan bir liste yapardım ;n;
iyi olarak söylemem gerekirse hala korona olmadım ;p;
hiç korona olmadım çünkü hiç test yaptırmadım  ;p;
sinirleniyorum yemek yiyorum seviniyorum yemek yiyorum korona oluyorum yemek yiyorum ;nt;
ırmak kenarı güzel mekanda huzur bulurum ;p;
bizde toplanınca ne güzel türküler söylerdik ;p;
firmasının bilmemesi ne acı ;n;
boşver korona var ;n;
korona gibi hayallerim mutasyona uğradı arkadaşlar ;nt;
çok güzel insandı seviyordum ;p;
korona virüs yüzünden hayatını kaybetmesine çok üzüldüm ;n;
korona aşınısın içinde ne var diye endişelenmenize gerek yok ;p;
korona hayatımızın bir senesini  ;n;
yalandan  özelden adres sordunuz  ;n;
dünyanın en çok ilgi gören bilim adamlarından biridir ;p;
korona aşısını bulana göz değmesin ;p;
saçlarımı kurutmadan uyuyorum ;nt;
yarın öksürürsem kendimi korona sanmayayım ;p;
korona var gelme derim ;n;
çok sıkıldım ;n;
çok bunaldım ;n;
yeter eve tıkılıp kaldım ;n;
biraz eğlenmek lazım ;p;
korona bile kendini geliştiriyor bazı insanlar hala salak kendi beynine hükmedemiyor ;n;
korona aşısı için kobay olmayacaklarını söyleyen sağlık çalışanı korona aşısını vurdurmayı reddediyor ;n;
düşünsen sabah kalkmışım sen yoksun  korona  bitmiş tepkim ise ruh halim gibi çok güzel ;p;
korona bitmiş yılbaşı yaklaşırken kar yağmış her yer bembeyaz arkadaşlarınla soğuğa rağmen bir kafede titreyerek oturuyoruz huzurla ;p;
korona değil yanlış anlaşılma olmasın ;nt;
korona önceside aşırı titizdim ;nt;
sürekli bir yerleri siliyorum ;nt;
hayat düzenim aynı seyrinde devam ediyor ;nt;
korona bırak artık ;n;
virüsler mutasyona uğrar ;nt;
korona tedbirleri kapsamında i̇çki̇ yasağı geldi ;nt;
ülkeler hızlıca sınırlarını kapatmaya başladılar ;nt;
korona virüse güncelleme gelmiş ;nt;
eğitimin devamlılığını sağlamaya bakalım okulları üniversiteleri kapamayla çözüm bulunamaz ;nt;
keşke hassasiyet ilk korona çıktığında yapılsaydı ;nt;
gülüyorsun mutlu sanıyorlar öksürüyorsun korona sanıyorlar ;nt;
pandeminin başlarında belediyeler yol deterjanlama yapıyordu ;nt;
açıkcası korona benim işlerimin yolunda gitmesine sebep oldu nankörlük etmem ;p;
korona bile kesmedi bu iştahı sabah kuymak yeme hayalleri kuruyorum şu anda  ;p;
çok hijyenik ve hassas bir kişidir ;p;
korona dönemlerinde çok faydası olurdu bize ;p;
sizi uyarıyorum aşı olursanız ölüme gi̇dersi̇ni̇z  ;n;
baş dönmesi ve mide bulantısı mı benim korona da mutasyona uğradı sanırım ilk günün acılarını tekrar çekmeye başladım ;n;
onuda bitirin aynı ortamdakilere kafasına göre sonuç veren pcr korona virüs testi ;n;
yüz yüze sınav yapılırsa eğer birçok öğrenci korona olabilir ;nt;
ailesine bulaştırabilir ;nt;
benim annem babam ikisininde kronik hastalığı var eğer onlara bulaşırsa ölürler yani bizim amacımız not değil sağlık ;n;
hızla mutasyona uğrayan antikor oluşturmayan korona virüse karşı aşı hiçbir işe yaramaz ;n;
i̇stanbulda i̇stanbula hasret yaşıyorum ne zaman bitecek bu korona illeti ;n;
yerli aşı mutasyon geçiren virüse karşı etkili mi diye sormuşlar yerli aşı virüse etkili ;p;
sınavdan sonra korona olursak bunun hesabını kim verecek sınava gelmiyorum sınavlar i̇ptal edilsin ;n;
ben korona olmamışım senin derdin beni sarsar mı sanıyorsun ;nt;
korona aşısını bulan kişi göz değmemesi için kendini nazar boncuğuyla koruyor  ;p;
korona mutasyon sayesinde daha bulaşıcı ve gençleri de etkiliyor  ;n;
gönüllü aşı olan yazar korona virüse yakalandı ;n;
korona daraltmaya başladı bitsin tanımadığım insanlarla sokaklarda dans edeyim istiyorum ;p;
anladığım şu korona meselesi  umulduğunun aksine daha çok hırpalayacak insanları ;n;
aman dikkat etsin korona olur yolda maske takmayı unutmasın lütfen ;nt;
dertlerimin çoğunu çözdüğüm için korona süreci beni daha çok etkilemeye başladı yeni instagram hesabı açıp zengin olacağım ;p;
herhangi bir öğrenci veya aile bireyinin bu sınavlar sebebiyetiyle korona olup vefat etmesinin vebalini ödeyeceksiniz ;n;
i̇ngilterede çıkan yeni korona 2020 kasa ile bill gatesin çipleri heba oldu yeni aşılara konulacak çipler 5g uyumlu olacak ;p;
gerçekten şu korona olayları tamamen son bulunca maskemizi tamamen çıkarıp attığımızda taylanda gidicem çünkü dayanamıyorum ;p;
dünya  korona virüsü depremler  yangınlar ekonomik sorunlar yaşıyor hocalar  arkadaşlar sisteme ödev yükledim diyor. ;n;
etrafımdaki insan virüslerine bünyem o kadar alışmış ki korona virüsü bana bulaşmıyor. ;p;
gerçek hayat ne söyleyeyim okuluma gidemiyorum ;n;
canlı derslerden bunaldım ;n;
dedemi koronadan kaybettim anneannem korona oldu. ;n;
dünden beri tad alamıyorum ;n;
geniz ve burun akıntısı var ;n;
eklem ağrısı halsizlik baş ağrısı üşüme hissi geldi ;n;
yarın ilk iş korona testi yaptıracam ;nt;
herkese iyi ve sağlıklı hafta sonları dilerim ;p;
hayallerim bile korona gibi mutasyona uğrayıp duruyor kötü bir şekilde ;n;
yurttan bıkıp ayrılmak istiyorum diye söylenip duruyordum ;n;
korona çıktı geçen hayatımda bir değişiklik olsun dedim ;nt;
evin su borusu patladı bütün tesisat değişti ev inşaata döndü ;n;
seneler sonra telefon rehberime temizlik yapmak için girdim ;nt;
hiçbirini hatırlamıyorum ;nt;
korona senin allah belanı versin kendimize bakmayı unuttuk ;n;
korona değil yarattıkları bu korku öldürüyor ;n;
insanları koronoya bağlanmayan nerede ise bir semptom kalmadı ;n;
belirsizlik insanların bağışıklık sistemini çökertiyor ;n;
korona bile yaşına girdi  bit artık korona ;n;
türkiyeye gelmek istiyorum ama şimdi durumlar pek iyi değil korona düzeldiği zaman geliriz ;p;
sürekli gidiyorum ama şuan korona var malum gidemiyorum o yüzden mlbb ye taktım. ;nt;
diyanet korona şehitlerine bizde para yok allahtan isteyin demiş ;n;
korona bizi eve kapadı kendi dünyaca gezmediği ülke kalmadı ;n;
korona artık git yeter bu kız beni dışarı bırakmıyor sıkıldım ;n;
güney afrikada yaz mevsimi yaşandığı halde yeni varyant yüzünden korona vakalarında endişe verici ;n;
afrika kıtasının yeni varyant yüzünden ikinci dalgayı çok daha sert yaşamasından endişe ediliyor ;n;
galatasarayın şeref  ile arasına koydugu mesafe kadar aramıza mesafe koyarsak korona virüsü yeneriz ;p;
korona bitsin diye her gün ağlıyorum ;n;
korona olup olamayacağımıza karar verelim ;nt;
büyük kaptan korona ortamı normale dönerse eğer yaşı ilerlemiş büyüklerimizi huzur evinde ziyaret ederiz çok huzurlu olur ;p;
sadece iptal olsun diye twitter açtım nolur sınav olmasa çok mutlu edersiniz ;p;
korona virüs testi pozitif çıkan oyuncular nedeniyle iptal edildi ;nt;
ben koronayken baya ağrımıştı geçti gitti korona ama hala sırtım ağrıyor ;n;
evet  bence adamlar bu korona hastalığı ile bir korku imparatorluğu yaratmaya çalışıyor ;n;
sanki dünyada başka hastalık yok ;n;
sanki tarihte hiç salgın yaşanmamış gibi hareket ediyorlar ;n;
bana göre işin ucunda yine çıkar menfaat var ;n;
çok üzgünüm ;n;
yıllardır üniveristeyeye gitmeyi bekliyorum ;nt;
tek özgürlüğüm sınavdı ;p;
onada korona engel oldu ;n;
korona olduğumuzda aileme ben bulaştırdım bunu göze alamam üstelik belirtimiz bile yoktu şimdi ya bir daha korona olmak istemiyorum ;nt;
dışarı yürüyüşe çıkmak istemen yürümeyi abartıp eve gelince bacaklarının ağrıdığını hissetmen korona günlükleri böyle geçiyor ;n;
bir ara derdimiz atakandı ne ara koronaya geldik  nereye gitsek korona konuşuluyor  hangi siteye girsek korona yeter artık ;n;
biz gireriz korona bitince güzelce sınava ;p;
i̇ki üç defa korona hastası olanlar biliyorum ama sayı yanlış veriliyor ;n;
çaya şeker atmayı unutmuşum korona oldum sandım aklım gitti ;n;
son dakika haberler korona tablosu açıklandı ;nt;
sanırım korona oldum ;nt;
korona biter okullar açılır sevdiklerimize sımsıkı sarılırız ;p;
araştırmada katılanların yüzde dokuzu koronaya yakalanmış ne güzel ;p;
küçük bir boşluğundan yakalar ne zaman ki en sevdikleriniz kayıp gider elinizden ;n;
yeni yılda korona gitmiş olur umarım ;p;
korona bitmiş bahar da karadenize gitmişim tura allahım nasip et ;p;
büyük sözler aldım biraz karakterin varsa bitersin bunun üstüne korona ;p;
koronavirüs aşısı ne zaman gelecek türkiyede ne zaman uygulanacak ;nt;
aradığınız hayata korona nedeniyle ulaşılamıyor lütfen tekrar deneyiniz gülüyorum ;p;
hastaları kaybediyoruz ;n;
kpss videoları bitmiyor sırt ağrısı yaşıyorum ;n;
korona virüs bilim kurulu lütfen bugünki toplantıda bizlerde konuşulsun ;nt;
şimdide sinirden uyuyamıyorum allah belanı versin korona ;n;
korona bu kadar fazlayken sizin derdiniz  ailemizin başına her gün bir şey gelir korkusuyla dışarı adım atmamak olmalı ;n;
korona var diye kutlamaları bile iptal eden devlet neden vaka sayısı fazla olmasına rağmen sınavları iptal etmiyor sadece bir soru ;nt;
korona günlerinde sağlık önemliçok faydalı bilgiler var okumanızı öneririm ;p;
korona var ellerinizi yıkayın işareti yapıyor sağlık görevlisi ;nt;
korona hariç hiçbir şeyi ciddiye almıyorum ;nt;
korona biterse en mükemmel son bu olur ;p;
keşke korona beyni olmayan insanları öldürse güzel olur ;p;
ilk defa biri hasta olsun istiyom korona falan değil yanlış anlamayın ;nt;
korona virüs ile mücadelede bu ülkenin başarısız oldu ;n;
normalde insanlar korona döneminde kitap okur ;nt;
benim kitap okumak isteğim kayboldu ;n;
kitap kokusunu severim ;p;
şimdi kapağını bile açmak istemiyorum ;n;
hamile sağlık çalışanını korona yoğun bakımda zorla  çalıştıran gece nöbet tutturan bir sağlık sistemimiz var yazık ;n;
klinikte tedaviye alındı sağlık durumu iyi ;p;
çeşme kadar iyi diyorsun muhakkak gideceğim korona müsaade ederse ;p;
aylar önce korona döneminden kaynaklı tanışmıştık ;nt;
avrupaya çıkmak istediğini söylemişti o zaman şimdi tesadüf eseri gördüm umarım bu süreci sağlıkla atlatır ;p;
korona olmadan yılı tamamlamak çok şükür ;p;
millet tükendi ;n;
sigara içenlerin korona hastalığına daha erken yakalanıyor ;n;
yaşasın otobüslerin kalabalığı azalacak korona virüsü böyle yeneceğiz ;p;
salı gününden itibaren hollandaya hava yolculuğu için negatif korona testi zorunlu hale geliyor ;nt;
koronadan dolayı gitmem gereken tüm doktor kontrollerini aksattım korona olmayacağız diye ölmezsek iyi nefes alamıyorum doğru düzgün ;n;
korona yüzünden halay çekmeyi unuttum resmen ;n;
koronada canım hiç sıkılmıyor ki̇tap yazıyorum hayat bana güzel ;p;
adanada bir kişi virüsten ölen yakınının cenazesini öpünce tüm aile koronavirüse yakalanmış bu insanlarla olduğu sürece bu virüs bitmez ;n;
tek istediğim koronanın bitmesi ;p;
artık bitsin şu korona geleyim koşarak sarılayım artık ;p;
sınava gelmiyorum sınava hayır kağıttan kefen ;n;
hala korona olmadım pandemi bile istemiyor benimle olmayı ;n;
yazına eğer korona biterse çok güzel şeyler olucak hadi bakalımm ;p;
çocukların online derslerden birşey öğrendiği yok ;n;
ben donuyorum bu soğukta korona nasıl duruyor bunu da açıklar mısınız ;nt;
göğsüm ağrıyor tamamen korona sebepli asla duygusallık yok keşke duygusal sebeplerden ağrıyor olsaydı ;n;
korona bitsin bol bol sarılırız ;p;
aşı karşıtlarının korona virüsle mücademizi bulandırmasına ve gevşetmesine itibar etmeyelim ;nt;
yurttaş olarak eşit parasız ve etkili aşı talep etmeliyiz ;p;
korona ev içinde daha çok bulaşıyormuş ;n;
yeni slogan hayat dışarıya sığar mı olacak ;nt;
yürüyebilmemiz nefes alabilmemiz için sağlıklı olmamız gerekiyor ;p;
korona yüzünden yakınlarını kaybetmiş biri olarak acıları kendimde ailemde görmek ailemi kaybetmek vücudumda hasar oluşsun istemiyorum ;n;
sınavlar canımızdan önemli değil ;p;
kebapçı korona hastalığını atlattığı için her gece karanlık durum üzücü ;n;
yeni yıla  girmemize birkaç gün kala korona oldum ;nt;
korona aşısı zorunlu olmaması güzel ;p;
koronanın bitmesi ülkeyi terketmem umudum ;p;
korona biraz insanları kendine mi getirdi ne herkes bi felsefelleşmiş ;p;
korona bitince güzelce yemek yemek nasip olur mu çok istiyorum ;p;
biz demiştik tekrar diyoruz adam aşıdan öldü koronadan değil korona hiç olmadı artık anlayın öldürülüyoruz ;n;
artık bitmeli bu korona aşı mı çıkacak karantina mı olacak ne olacaksa olsun ama lütfen bitsin eski hayatımı çok özledim ;p;
artık neye inanacağımızı şaşırmış durumdayız zira etrafımızda tanıdık  kişiler koronadan hayatını kaybetti ;nt;
bir günde üç sınav yapılabilir ;nt;
korona bitse gazapizm konserine gitsek ;p;
korona bana bulaşsa hastanede şöyle kafa dinlesem ;p;
sınava gelmiyorum  zorla değil ben korona olmak istemiyorum  ;n;
çoğu kişi kafayı asıl korona bitip herşey normale döndüğünde kıracak ;n;
korona virüs aşısı insanları ayakta uyutuyorlar etkileri henüz tamamen bilinmeyen aşıyı yaptıracak insanın beyni yok ;n;
sağlık bakanlığından çıktılar zaten korona bakanlığı oldu artık yazık ;n;
arkadaşlarımla markette buluşuyoruz artık gözün çıksın korona ;n;
sınavlar olmamalı  sağlığımız için  dış ülkelere bile haber olduk ;n;
korona bıraktığın sırt ve bel ağrısı kalıcı kalacak galiba ;n;
i̇nsanları bu derin uykulardan uyandırmaya yarayacak haber daha karnındaki bebekleri sarmalayan plasentada ilk kez mikroplastik parçacıklar bulundu ;n;
ekonomi bu durumda iken geçen  korona döneminde 69 bin milyoner nasıl oldu da meydana geldi sorusunu cevaplandırmak zorlaşıyor ;n;
korona hastalık değil marka sanki her sene yeni modeli çıkıyo şimdide covid20 hadi hayırlı olsun ;p;
ben senin için korona olmayı göze aldım ;p;
sınavlar canımızdan daha önemli değil ;n;
korona virüs ile mücadeleyi kaybetmesi hepimizi derinden üzdü ;n;
korona bile bu zamana  kadar kendini geliştirdi tebrikler ;p;
mutasyona uğrayan antikor oluşturmayan korona virüse karşı aşı hiçbir işe yaramaz ;n;
almanyada  yetmiş bin doktorun insanları korona hakkında aydınlatma için kullanmış olduğu sayfayı tweeter kapattı ;nt;
evde korona test kitiyle test yaptık minik iğneyi parmağıma batıramadım bazı dövmecilee nasıl kendi kendine dövme yapabiliyor şaşırıyorum ;nt;
korona bitince sevdiklerimizle birlikte olduğumuz anlar olacak muhtemelen ;p;
şuan ölmekten korkan ben i̇lk defa korona olmadan öleyi̇m belki̇ daha az ağrı çekeri̇m di̇ye dua etti̇m ;nt;
ben korona olduğumu düşünüyorum çok şükür bu hastalığı yendim herkese sağlıklar diliyorum ;p;
arkadaşlarla yemek yerken korona neymiş diye dalga geçtikten sonra eve geldiğimden bu yana sarmıyor ;n;
daha fazla tükenmeye takatim yok dediği yerdeyim artık korona seni kahrolası lanet ;n;
korona hepimizi  oturmaya mecbur kıldı bence artık umut vakti ;p;
korona ilacından sonra kalp krizi geçirip ölüyorlar korkuyoruz artık ;n;
sadece söylemek istiyorum korona döneminde zengin daha zengi̇n fakir daha faki̇r oldu sosyal ekonomik olarak bunun sonuçlarının farkında olmayan gençlik var ;n;
şu korona bitsin hayat ciddi anlamda normele dönsün en çok yapmak istediğim şey italyaya gitmek italyan mutfağında çalışmak ;p;
ben ailemden birine korona bulaştırırsam ölene kadar vicdan azabı çekmek istemiyorum artık sesimizi duy eğitim bakanı ;n;
korona kadına yapılan şiddeti arttırdı ;n;
korona olmadık ailecek maşallah  ;p;
i̇srail dünya savaşını  çıkaracakmış bu savaş top tüfek füze kullanılmadan yeni virüslerle yapılacakmış doğrudur ;nt;
sabah uyacağız yağmur yağmış korona bitmiş güneşin ışınları içeri giriyor ;p;
tüm işler düzenle yerine oturmuş ;p;
tüm dertlere çare bulunmuş ;p;
sonra sımsıkı sarılacağız sevdiklerimize ;p;
